FB,107.542,20160225_114214,107.09,
GOOG,698.12,20160225_114214,700.01,
AAPL,96.17,20160225_114214,96.16,
F,12.24,20160225_114214,12.11,
ARWR,3.82,20160225_114214,3.86,
BWLD,158.14,20160225_114214,159.25,
BP,28.33,20160225_114214,28.83,
WMT,67.45,20160225_114214,67.48,
TGT,77.058,20160225_114214,77.0,
AMZN,549.93,20160225_114214,555.62,
MSFT,51.0525,20160225_114214,51.73,
OTIV,0.71,20160225_114214,0.71,
PXLW,1.96,20160225_114214,2.0,
GOGO,9.79,20160225_114214,9.75,
HPQ,10.1,20160225_114219,10.13,
VZ,51.0,20160225_114219,50.9,
HTCKF,9.9,20160225_114219,9.9,
SNE,21.11,20160225_114219,21.12,
ADBE,85.3,20160225_114219,84.76,
BAC,12.1399,20160225_114219,12.14,
GPRO,11.41,20160225_114219,11.69,
FB,107.534,20160225_114219,107.09,
GOOG,698.2421,20160225_114219,700.01,
AAPL,96.1722,20160225_114219,96.16,
F,12.24,20160225_114219,12.11,
ARWR,3.82,20160225_114219,3.86,
BWLD,158.14,20160225_114219,159.25,
BP,28.33,20160225_114219,28.83,
WMT,67.45,20160225_114219,67.48,
TGT,77.058,20160225_114219,77.0,
AMZN,549.93,20160225_114219,555.62,
MSFT,51.05,20160225_114219,51.73,
OTIV,0.71,20160225_114219,0.71,
PXLW,1.96,20160225_114219,2.0,
GOGO,9.79,20160225_114219,9.75,
HPQ,10.105,20160225_114224,10.13,
VZ,51.0,20160225_114224,50.9,
HTCKF,9.9,20160225_114224,9.9,
SNE,21.11,20160225_114224,21.12,
ADBE,85.33,20160225_114224,84.76,
BAC,12.135,20160225_114224,12.14,
GPRO,11.41,20160225_114224,11.69,
FB,107.54,20160225_114224,107.09,
GOOG,698.5,20160225_114224,700.01,
AAPL,96.16,20160225_114224,96.16,
F,12.2353,20160225_114224,12.11,
ARWR,3.82,20160225_114224,3.86,
BWLD,158.14,20160225_114224,159.25,
BP,28.32,20160225_114224,28.83,
WMT,67.45,20160225_114224,67.48,
TGT,77.05,20160225_114224,77.0,
AMZN,549.93,20160225_114224,555.62,
MSFT,51.06,20160225_114224,51.73,
OTIV,0.71,20160225_114224,0.71,
PXLW,1.96,20160225_114224,2.0,
GOGO,9.79,20160225_114224,9.75,
HPQ,10.1,20160225_114229,10.13,
VZ,50.9965,20160225_114229,50.9,
HTCKF,9.9,20160225_114229,9.9,
SNE,21.11,20160225_114229,21.12,
ADBE,85.34,20160225_114229,84.76,
BAC,12.14,20160225_114229,12.14,
GPRO,11.39,20160225_114229,11.69,
FB,107.561,20160225_114229,107.09,
GOOG,698.5,20160225_114229,700.01,
AAPL,96.16,20160225_114229,96.16,
F,12.24,20160225_114229,12.11,
ARWR,3.82,20160225_114229,3.86,
BWLD,158.14,20160225_114229,159.25,
BP,28.33,20160225_114229,28.83,
WMT,67.4499,20160225_114229,67.48,
TGT,77.03,20160225_114229,77.0,
AMZN,549.78,20160225_114229,555.62,
MSFT,51.06,20160225_114229,51.73,
OTIV,0.71,20160225_114229,0.71,
PXLW,1.96,20160225_114229,2.0,
GOGO,9.79,20160225_114229,9.75,
HPQ,10.105,20160225_114234,10.13,
VZ,51.0,20160225_114234,50.9,
HTCKF,9.9,20160225_114234,9.9,
SNE,21.11,20160225_114234,21.12,
ADBE,85.32,20160225_114234,84.76,
BAC,12.135,20160225_114234,12.14,
GPRO,11.38,20160225_114234,11.69,
FB,107.58,20160225_114234,107.09,
GOOG,698.49,20160225_114234,700.01,
AAPL,96.16,20160225_114234,96.16,
F,12.235,20160225_114234,12.11,
ARWR,3.83,20160225_114234,3.86,
BWLD,158.14,20160225_114234,159.25,
BP,28.32,20160225_114234,28.83,
WMT,67.44,20160225_114234,67.48,
TGT,77.02,20160225_114234,77.0,
AMZN,549.7601,20160225_114234,555.62,
MSFT,51.055,20160225_114234,51.73,
OTIV,0.71,20160225_114234,0.71,
PXLW,1.96,20160225_114234,2.0,
GOGO,9.79,20160225_114234,9.75,
HPQ,10.1,20160225_114239,10.13,
VZ,50.99,20160225_114239,50.9,
HTCKF,9.9,20160225_114239,9.9,
SNE,21.11,20160225_114239,21.12,
ADBE,85.39,20160225_114239,84.76,
BAC,12.1351,20160225_114239,12.14,
GPRO,11.38,20160225_114239,11.69,
FB,107.544,20160225_114239,107.09,
GOOG,698.49,20160225_114239,700.01,
AAPL,96.1615,20160225_114239,96.16,
F,12.23,20160225_114239,12.11,
ARWR,3.83,20160225_114239,3.86,
BWLD,158.14,20160225_114239,159.25,
BP,28.3266,20160225_114239,28.83,
WMT,67.44,20160225_114239,67.48,
TGT,77.05,20160225_114239,77.0,
AMZN,549.888,20160225_114239,555.62,
MSFT,51.0611,20160225_114239,51.73,
OTIV,0.71,20160225_114239,0.71,
PXLW,1.96,20160225_114239,2.0,
GOGO,9.8099,20160225_114239,9.75,
HPQ,10.11,20160225_114244,10.13,
VZ,50.995,20160225_114244,50.9,
HTCKF,9.9,20160225_114244,9.9,
SNE,21.11,20160225_114244,21.12,
ADBE,85.39,20160225_114244,84.76,
BAC,12.135,20160225_114244,12.14,
GPRO,11.3999,20160225_114244,11.69,
FB,107.57,20160225_114244,107.09,
GOOG,698.49,20160225_114244,700.01,
AAPL,96.17,20160225_114244,96.16,
F,12.2337,20160225_114244,12.11,
ARWR,3.835,20160225_114244,3.86,
BWLD,158.14,20160225_114244,159.25,
BP,28.32,20160225_114244,28.83,
WMT,67.44,20160225_114244,67.48,
TGT,77.05,20160225_114244,77.0,
AMZN,549.888,20160225_114244,555.62,
MSFT,51.07,20160225_114244,51.73,
OTIV,0.71,20160225_114244,0.71,
PXLW,1.96,20160225_114244,2.0,
GOGO,9.8099,20160225_114244,9.75,
HPQ,10.1,20160225_114249,10.13,
VZ,50.995,20160225_114249,50.9,
HTCKF,9.9,20160225_114249,9.9,
SNE,21.11,20160225_114249,21.12,
ADBE,85.39,20160225_114249,84.76,
BAC,12.135,20160225_114249,12.14,
GPRO,11.39,20160225_114249,11.69,
FB,107.6121,20160225_114249,107.09,
GOOG,698.49,20160225_114249,700.01,
AAPL,96.17,20160225_114249,96.16,
F,12.2337,20160225_114249,12.11,
ARWR,3.835,20160225_114249,3.86,
BWLD,158.14,20160225_114249,159.25,
BP,28.34,20160225_114249,28.83,
WMT,67.43,20160225_114249,67.48,
TGT,77.05,20160225_114249,77.0,
AMZN,550.01,20160225_114249,555.62,
MSFT,51.09,20160225_114249,51.73,
OTIV,0.71,20160225_114249,0.71,
PXLW,1.96,20160225_114249,2.0,
GOGO,9.8,20160225_114249,9.75,
HPQ,10.105,20160225_114254,10.13,
VZ,51.0,20160225_114254,50.9,
HTCKF,9.9,20160225_114254,9.9,
SNE,21.11,20160225_114254,21.12,
